User,Bot,Feedback
Hi there!,"Absolutely! Here are some tips for incorporating aromatherapy into your at-home yoga practice:

1.",no
Can you check my balance?,"Sure! Here's how you can check your balance on a popular mobile banking app:

1.",no
thanks,I'm not sure how to respond to that. Could you provide more details?,no
no,"Certainly! Here's a list of some popular coffee brands that offer fair trade coffee:

1.",no
What is 5 euro's saved every day after a year?,"Yes, 5 euros per day can be saved for a year with 5 euros saved every day.",no
How much will I spend next month?,I'm not sure how to respond to that. Could you provide more details?,no
What is my balance,I'm not sure how to respond to that. Could you provide more details?,no
What is my balance,"Your balance is currently $0.00, meaning that you have no money in your account.",yes
Why did the chicken cross the road,The reason why the chicken crosses the road is not explicitly stated in the given text.,yes
Can you tell me how much I spent last month?,I'm not sure how to respond to that. Could you provide more details?,no
